5,0.75789,0.11682,12.03
10,0.61858,0.09665,10.725
15,0.55525,0.088893,10.204
20,0.50569,0.084811,9.6506
25,0.47758,0.081806,9.4494
30,0.46414,0.079451,9.2665
35,0.45201,0.07745,9.0591
40,0.44103,0.076033,8.9736
45,0.43175,0.07482,8.8945
50,0.42831,0.074011,8.8285
55,0.42411,0.07346,8.749
60,0.42157,0.073084,8.6981
65,0.41899,0.072778,8.6648
70,0.41806,0.072473,8.6223
75,0.41724,0.072193,8.5929
80,0.41661,0.072026,8.577
85,0.41534,0.071798,8.5551
90,0.4143,0.071811,8.543
95,0.41358,0.071748,8.5307
100,0.41289,0.071626,8.5157
105,0.41225,0.071464,8.5095
110,0.41224,0.07142,8.5073
115,0.41232,0.071438,8.5042
120,0.41211,0.071412,8.5091
125,0.41201,0.071345,8.5099
130,0.41212,0.071324,8.5136
135,0.41173,0.071364,8.5163
140,0.41177,0.07137,8.51
145,0.41194,0.071392,8.5127
150,0.41204,0.071394,8.5142
155,0.41211,0.071429,8.5191
160,0.41225,0.071491,8.526
165,0.41261,0.071523,8.5254
170,0.41285,0.071571,8.5352
175,0.41331,0.071592,8.5426
180,0.41372,0.071655,8.5468
185,0.41412,0.071756,8.5556
190,0.41456,0.071819,8.5613
195,0.41538,0.071908,8.5736
200,0.41603,0.071962,8.5846
205,0.41667,0.072045,8.5951
210,0.4176,0.072142,8.6126
215,0.41841,0.072258,8.6246
220,0.41907,0.072381,8.642
225,0.41964,0.072483,8.655
230,0.4208,0.072644,8.6829
235,0.42275,0.072849,8.7055
240,0.42514,0.073115,8.7357
245,0.42757,0.073413,8.7693
250,0.4298,0.073679,8.8105
