50,0.76678,0.12135,19.266
55,0.74435,0.11798,18.791
60,0.71676,0.1151,18.266
65,0.69664,0.11265,17.811
70,0.68038,0.11031,17.494
75,0.66169,0.10861,17.186
80,0.64638,0.10642,16.817
85,0.63313,0.10464,16.524
90,0.61898,0.10315,16.27
95,0.60792,0.10175,15.919
100,0.59706,0.10018,15.707
105,0.58604,0.099185,15.441
110,0.57456,0.09805,15.235
115,0.56603,0.096986,15.101
120,0.55808,0.0959,14.795
125,0.54904,0.094771,14.67
130,0.54362,0.093787,14.532
135,0.53614,0.093022,14.389
140,0.52683,0.091724,14.148
145,0.52196,0.09129,14.004
150,0.5155,0.090663,13.903
155,0.50949,0.089833,13.696
160,0.50482,0.089107,13.609
165,0.49945,0.088484,13.502
170,0.4934,0.087769,13.361
175,0.4896,0.087042,13.225
180,0.48419,0.086787,13.188
185,0.47962,0.08605,13.044
190,0.47685,0.085877,12.956
195,0.47199,0.085068,12.861
200,0.46789,0.084533,12.722
